timestep,hardware_name,hardware_label,field_total_variation_distance,field_relative_l2_error,field_rmse,rho_x_sum_total_variation_distance,rho_x_mean_relative_l2_error
1,superconducting_ibm_nighthawk_r1_2025,IBM Nighthawk r1,0.4931640625,0.636982285503271,0.032532368093838936,0.10107421875,0.19478127669557763
1,neutral_atom_aws_2023,Neutral atom,0.447265625,0.589873897355699,0.030148031073344322,0.07177734375,0.14343423993209883
2,superconducting_ibm_nighthawk_r1_2025,IBM Nighthawk r1,0.6171875,0.7851091081958206,0.04010641434385998,0.16357421875,0.3130174265316757
2,neutral_atom_aws_2023,Neutral atom,0.6044921875,0.7700887964030074,0.039358685080435676,0.130615234375,0.25229469004599864
3,superconducting_ibm_nighthawk_r1_2025,IBM Nighthawk r1,0.627197265625,0.7957413713362814,0.04064955152883569,0.135986328125,0.26204851339205176
3,neutral_atom_aws_2023,Neutral atom,0.630615234375,0.7996563703317532,0.04086986253982698,0.16650390625,0.32037675672375865
4,superconducting_ibm_nighthawk_r1_2025,IBM Nighthawk r1,0.75439453125,0.8874379578640743,0.05883421827070401,0.16650390625,0.31757414031850817
4,neutral_atom_aws_2023,Neutral atom,0.75244140625,0.8893682799905496,0.05826648872944456,0.166748046875,0.32298774935630514
5,superconducting_ibm_nighthawk_r1_2025,IBM Nighthawk r1,0.6240234375,0.7930824654033028,0.04057203838718321,0.171875,0.3306955014651556
5,neutral_atom_aws_2023,Neutral atom,0.625732421875,0.7938255743865632,0.040571854748456766,0.17431640625,0.33644993537930845
