label,x,y,normalized_density
Noiseless reference,0,0,0.078857421875
Noiseless reference,0,1,0.08154296875
Noiseless reference,0,2,0.0
Noiseless reference,0,3,0.0
Noiseless reference,1,0,0.0
Noiseless reference,1,1,0.0
Noiseless reference,1,2,0.0
Noiseless reference,1,3,0.079833984375
Noiseless reference,2,0,0.08056640625
Noiseless reference,2,1,0.0810546875
Noiseless reference,2,2,0.0
Noiseless reference,2,3,0.0
Noiseless reference,3,0,0.0
Noiseless reference,3,1,0.0
Noiseless reference,3,2,0.0
Noiseless reference,3,3,0.0869140625
Noiseless reference,4,0,0.079833984375
Noiseless reference,4,1,0.083740234375
Noiseless reference,4,2,0.0
Noiseless reference,4,3,0.0
Noiseless reference,5,0,0.0
Noiseless reference,5,1,0.0
Noiseless reference,5,2,0.0
Noiseless reference,5,3,0.084228515625
Noiseless reference,6,0,0.088623046875
Noiseless reference,6,1,0.0869140625
Noiseless reference,6,2,0.0
Noiseless reference,6,3,0.0
Noiseless reference,7,0,0.0
Noiseless reference,7,1,0.0
Noiseless reference,7,2,0.0
Noiseless reference,7,3,0.087890625
IBM Nighthawk r1 (hardware_depolarizing),0,0,0.050048828125
IBM Nighthawk r1 (hardware_depolarizing),0,1,0.03564453125
IBM Nighthawk r1 (hardware_depolarizing),0,2,0.02734375
IBM Nighthawk r1 (hardware_depolarizing),0,3,0.016357421875
IBM Nighthawk r1 (hardware_depolarizing),1,0,0.029052734375
IBM Nighthawk r1 (hardware_depolarizing),1,1,0.022216796875
IBM Nighthawk r1 (hardware_depolarizing),1,2,0.022705078125
IBM Nighthawk r1 (hardware_depolarizing),1,3,0.0361328125
IBM Nighthawk r1 (hardware_depolarizing),2,0,0.053955078125
IBM Nighthawk r1 (hardware_depolarizing),2,1,0.0361328125
IBM Nighthawk r1 (hardware_depolarizing),2,2,0.026123046875
IBM Nighthawk r1 (hardware_depolarizing),2,3,0.02490234375
IBM Nighthawk r1 (hardware_depolarizing),3,0,0.026123046875
IBM Nighthawk r1 (hardware_depolarizing),3,1,0.024169921875
IBM Nighthawk r1 (hardware_depolarizing),3,2,0.02587890625
IBM Nighthawk r1 (hardware_depolarizing),3,3,0.03759765625
IBM Nighthawk r1 (hardware_depolarizing),4,0,0.059326171875
IBM Nighthawk r1 (hardware_depolarizing),4,1,0.03466796875
IBM Nighthawk r1 (hardware_depolarizing),4,2,0.029052734375
IBM Nighthawk r1 (hardware_depolarizing),4,3,0.01953125
IBM Nighthawk r1 (hardware_depolarizing),5,0,0.027099609375
IBM Nighthawk r1 (hardware_depolarizing),5,1,0.020263671875
IBM Nighthawk r1 (hardware_depolarizing),5,2,0.024169921875
IBM Nighthawk r1 (hardware_depolarizing),5,3,0.03466796875
IBM Nighthawk r1 (hardware_depolarizing),6,0,0.05322265625
IBM Nighthawk r1 (hardware_depolarizing),6,1,0.03955078125
IBM Nighthawk r1 (hardware_depolarizing),6,2,0.027587890625
IBM Nighthawk r1 (hardware_depolarizing),6,3,0.026611328125
IBM Nighthawk r1 (hardware_depolarizing),7,0,0.028076171875
IBM Nighthawk r1 (hardware_depolarizing),7,1,0.021484375
IBM Nighthawk r1 (hardware_depolarizing),7,2,0.0244140625
IBM Nighthawk r1 (hardware_depolarizing),7,3,0.035888671875
Neutral atom (hardware_depolarizing),0,0,0.05859375
Neutral atom (hardware_depolarizing),0,1,0.038330078125
Neutral atom (hardware_depolarizing),0,2,0.02294921875
Neutral atom (hardware_depolarizing),0,3,0.01953125
Neutral atom (hardware_depolarizing),1,0,0.024169921875
Neutral atom (hardware_depolarizing),1,1,0.018798828125
Neutral atom (hardware_depolarizing),1,2,0.019287109375
Neutral atom (hardware_depolarizing),1,3,0.03271484375
Neutral atom (hardware_depolarizing),2,0,0.06787109375
Neutral atom (hardware_depolarizing),2,1,0.04052734375
Neutral atom (hardware_depolarizing),2,2,0.02490234375
Neutral atom (hardware_depolarizing),2,3,0.018798828125
Neutral atom (hardware_depolarizing),3,0,0.0244140625
Neutral atom (hardware_depolarizing),3,1,0.01904296875
Neutral atom (hardware_depolarizing),3,2,0.0224609375
Neutral atom (hardware_depolarizing),3,3,0.029052734375
Neutral atom (hardware_depolarizing),4,0,0.06787109375
Neutral atom (hardware_depolarizing),4,1,0.039794921875
Neutral atom (hardware_depolarizing),4,2,0.02490234375
Neutral atom (hardware_depolarizing),4,3,0.01708984375
Neutral atom (hardware_depolarizing),5,0,0.034423828125
Neutral atom (hardware_depolarizing),5,1,0.020751953125
Neutral atom (hardware_depolarizing),5,2,0.022705078125
Neutral atom (hardware_depolarizing),5,3,0.03466796875
Neutral atom (hardware_depolarizing),6,0,0.06640625
Neutral atom (hardware_depolarizing),6,1,0.042724609375
Neutral atom (hardware_depolarizing),6,2,0.0263671875
Neutral atom (hardware_depolarizing),6,3,0.020263671875
Neutral atom (hardware_depolarizing),7,0,0.029541015625
Neutral atom (hardware_depolarizing),7,1,0.01513671875
Neutral atom (hardware_depolarizing),7,2,0.021728515625
Neutral atom (hardware_depolarizing),7,3,0.0341796875
