algorithm,grid,num_obstacles,num_timesteps,hardware_label,logical_qubits,transpiled_compact_qubits,logical_gate_count,transpiled_gate_count,logical_two_qubit_count,transpiled_two_qubit_count,logical_circuit_depth,transpiled_circuit_depth,max_2q_section,max_2q_section_count,max_time_section,max_time_section_critical_path_s
ABQLBM,16x16,0,1,SC Willow,13,15,169,53256,35,9828,86,32728,timestep,9786,timestep,0.000937209000000203
ABQLBM,16x16,0,1,SC Nighthawk,13,12,169,16151,35,4884,86,9664,timestep,4929,timestep,0.001062650000000011
ABQLBM,16x16,0,1,SC Eagle,13,12,169,32471,35,5565,86,16866,timestep,5181,timestep,0.003547394999999259
ABQLBM,16x16,0,1,Trapped-ion,13,12,169,8748,35,2115,86,4733,timestep,2112,timestep,0.43730999999999776
ABQLBM,16x16,0,1,Neutral-atom,13,12,169,6418,35,2187,86,3813,timestep,2184,measurement,0.005
ABQLBM,16x16,0,1,Silicon-spin$^{\dagger}$,13,12,169,19125,35,5883,86,10206,timestep,5877,timestep,0.0008018599999999466
ABQLBM,16x16,1,1,SC Willow,15,20,3063,276902,1427,50702,1443,154589,timestep,51038,timestep,0.0045258569999892875
ABQLBM,16x16,1,1,SC Nighthawk,15,16,3063,79308,1427,25514,1443,45125,timestep,25478,timestep,0.005067144999996722
ABQLBM,16x16,1,1,SC Eagle,15,21,3063,196564,1427,34210,1443,89368,timestep,33865,timestep,0.02148014499999172
ABQLBM,16x16,1,1,Trapped-ion,15,15,3063,47595,1427,11413,1443,23008,timestep,11410,timestep,1.9632400000000152
ABQLBM,16x16,1,1,Neutral-atom,15,15,3063,33983,1427,12743,1443,19191,timestep,12740,timestep,0.006337565999999151
ABQLBM,16x16,1,1,Silicon-spin$^{\dagger}$,15,15,3063,117682,1427,38063,1443,55266,timestep,38057,timestep,0.004505769999998951
ABQLBM,16x16,2,1,SC Willow,15,20,5597,392878,2707,71714,2443,217178,timestep,72818,timestep,0.006173236999975971
ABQLBM,16x16,2,1,SC Nighthawk,15,16,5597,109959,2707,36191,2443,59299,timestep,36221,timestep,0.007134444999992309
ABQLBM,16x16,2,1,SC Eagle,15,15,5597,296759,2707,52012,2443,131459,timestep,50368,timestep,0.031360229999969715
ABQLBM,16x16,2,1,Trapped-ion,15,15,5597,68048,2707,16293,2443,30582,timestep,16290,timestep,2.6012000000001403
ABQLBM,16x16,2,1,Neutral-atom,15,15,5597,48975,2707,18695,2443,26167,timestep,18692,timestep,0.008687201999998489
ABQLBM,16x16,2,1,Silicon-spin$^{\dagger}$,15,15,5597,177431,2707,58094,2443,78396,timestep,58259,timestep,0.006468630000000005
ABQLBM,16x16,3,1,SC Willow,15,16,8121,516100,3987,93980,3443,268643,timestep,94022,timestep,0.007908081999964501
ABQLBM,16x16,3,1,SC Nighthawk,15,20,8121,138870,3987,46328,3443,76591,timestep,47003,timestep,0.00878800499999509
ABQLBM,16x16,3,1,SC Eagle,15,15,8121,387266,3987,67600,3443,163478,timestep,66994,timestep,0.04126545999999394
ABQLBM,16x16,3,1,Trapped-ion,15,15,8121,88483,3987,21173,3443,38152,timestep,21170,timestep,3.247120000000268
ABQLBM,16x16,3,1,Neutral-atom,15,15,8121,63956,3987,24647,3443,33143,timestep,24644,timestep,0.011037837999997841
ABQLBM,16x16,3,1,Silicon-spin$^{\dagger}$,15,15,8121,238397,3987,78419,3443,101726,timestep,78623,timestep,0.008420189999996865
ABQLBM,16x16,4,1,SC Willow,15,16,10645,641121,5267,116798,4443,329429,timestep,115934,timestep,0.009943464999996019
ABQLBM,16x16,4,1,SC Nighthawk,15,16,10645,172966,5267,57752,4443,90694,timestep,58832,timestep,0.011182115000005979
ABQLBM,16x16,4,1,SC Eagle,15,15,10645,497556,5267,86968,4443,207540,timestep,85744,timestep,0.05206903500002289
ABQLBM,16x16,4,1,Trapped-ion,15,15,10645,108925,5267,26053,4443,45726,timestep,26050,timestep,3.893770000000366
ABQLBM,16x16,4,1,Neutral-atom,15,15,10645,78938,5267,30599,4443,40119,timestep,30596,timestep,0.013387473999997202
ABQLBM,16x16,4,1,Silicon-spin$^{\dagger}$,15,15,10645,298138,5267,98489,4443,125656,timestep,98600,timestep,0.010450349999983765
