algorithm,grid,num_obstacles,num_timesteps,hardware_label,logical_qubits,transpiled_compact_qubits,logical_gate_count,transpiled_gate_count,logical_two_qubit_count,transpiled_two_qubit_count,logical_circuit_depth,transpiled_circuit_depth,scheduled_duration_s,max_2q_section,max_2q_section_count,max_time_section,max_time_section_critical_path_s,transpile_error
ABQLBM,8x4,1,1,Neutral-atom Rydberg processor,12,12,1858,21481,683,8055,1063,12943,0.012410840000001346,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,1,IBM Eagle r3,12,16,1858,117818,683,20399,1063,55643,0.010553640000001302,algorithm_step_1,20621,algorithm_step_1,0.01353876000000195,
ABQLBM,8x4,1,2,Neutral-atom Rydberg processor,12,12,3702,42935,1363,16107,2123,25884,0.01981967999999852,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,2,IBM Eagle r3,12,16,3702,235186,1363,40879,2123,114088,0.02180679999998924,algorithm_step_1,21494,algorithm_step_1,0.013976490000002085,
ABQLBM,8x4,1,3,Neutral-atom Rydberg processor,12,12,5546,64389,2043,24159,3183,38825,0.027228519999994844,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,3,IBM Eagle r3,12,12,5546,354979,2043,61788,3183,175494,0.033518569999973685,algorithm_step_1,21599,algorithm_step_1,0.01387704500000209,
ABQLBM,8x4,1,4,Neutral-atom Rydberg processor,12,12,7390,85843,2723,32211,4243,51766,0.03463735999999119,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,4,IBM Eagle r3,12,17,7390,469999,2723,81689,4243,231306,0.04428614000000748,algorithm_step_1,21719,algorithm_step_1,0.013928935000002005,
ABQLBM,8x4,1,5,Neutral-atom Rydberg processor,12,12,9234,107297,3403,40263,5303,64707,0.04204620000000433,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,5,IBM Eagle r3,12,17,9234,569050,3403,98734,5303,282065,0.053753125000037566,algorithm_step_3,21215,algorithm_step_4,0.013773590000002152,
ABQLBM,8x4,1,6,Neutral-atom Rydberg processor,12,12,11078,128751,4083,48315,6363,77648,0.04945504000002195,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,6,IBM Eagle r3,12,12,11078,717047,4083,125046,6363,345547,0.06590004500003946,algorithm_step_1,22268,algorithm_step_1,0.014217450000001939,
ABQLBM,8x4,1,7,Neutral-atom Rydberg processor,12,12,12922,150205,4763,56367,7423,90589,0.05686388000003958,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,7,IBM Eagle r3,12,17,12922,831583,4763,144473,7423,406168,0.07758074999994788,algorithm_step_7,22235,algorithm_step_7,0.014286730000002013,
ABQLBM,8x4,1,8,Neutral-atom Rydberg processor,12,12,14766,171659,5443,64419,8483,103530,0.06427272000005721,algorithm_step_1,8052,algorithm_step_1,0.008989460000000607,
ABQLBM,8x4,1,8,IBM Eagle r3,12,12,14766,920263,5443,159418,8483,449742,0.08548886499988449,algorithm_step_6,22097,algorithm_step_6,0.01405189500000223,
