lattice,backend,compiler,scheduler,opt_level,virtual_qubits,physical_qubits,depth,width,size,tensor_factors,twoq_gate_count,swap_count,op_counts_json,scheduled_duration_s,scheduled_duration_unit
8x8-0obs-v4x4,ibm_guadalupe_v2,qiskit,alap,1,15,16,2145,16,3581,4,2286,0,"{""cx"": 2286, ""rz"": 1175, ""sx"": 76, ""x"": 44}",,
8x8-0obs-v4x4,ibm_guadalupe_v2,qiskit,asap,1,15,16,2145,16,3581,4,2286,0,"{""cx"": 2286, ""rz"": 1175, ""sx"": 76, ""x"": 44}",,
8x8-0obs-v4x4,ibm_sherbrooke_v2,qiskit,alap,1,15,127,5402,127,13000,115,2250,0,"{""rz"": 5822, ""sx"": 4485, ""ecr"": 2250, ""x"": 443}",,
8x8-0obs-v4x4,ibm_sherbrooke_v2,qiskit,asap,1,15,127,5402,127,13000,115,2250,0,"{""rz"": 5822, ""sx"": 4485, ""ecr"": 2250, ""x"": 443}",,
8x8-0obs-v4x4,ibm_algiers_v2,qiskit,alap,1,15,27,2148,27,3600,15,2304,0,"{""cx"": 2304, ""rz"": 1176, ""sx"": 76, ""x"": 44}",,
8x8-0obs-v4x4,ibm_algiers_v2,qiskit,asap,1,15,27,2148,27,3600,15,2304,0,"{""cx"": 2304, ""rz"": 1176, ""sx"": 76, ""x"": 44}",,
8x8-0obs-v4x4,ibm_cambridge_v2,qiskit,alap,1,15,28,1984,28,3495,13,2346,0,"{""cx"": 2346, ""u1"": 1029, ""u2"": 76, ""u3"": 44}",,
8x8-0obs-v4x4,ibm_cambridge_v2,qiskit,asap,1,15,28,1984,28,3495,13,2346,0,"{""cx"": 2346, ""u1"": 1029, ""u2"": 76, ""u3"": 44}",,
8x8-1obs-v4x4,ibm_guadalupe_v2,qiskit,alap,1,16,16,31029,16,52797,1,30958,0,"{""cx"": 30958, ""rz"": 17695, ""sx"": 3890, ""x"": 254}",,
8x8-1obs-v4x4,ibm_guadalupe_v2,qiskit,asap,1,16,16,31029,16,52797,1,30958,0,"{""cx"": 30958, ""rz"": 17695, ""sx"": 3890, ""x"": 254}",,
8x8-1obs-v4x4,ibm_sherbrooke_v2,qiskit,alap,1,16,127,78847,127,176668,106,31084,0,"{""rz"": 80242, ""sx"": 59524, ""ecr"": 31084, ""x"": 5818}",,
8x8-1obs-v4x4,ibm_sherbrooke_v2,qiskit,asap,1,16,127,78847,127,176668,106,31084,0,"{""rz"": 80242, ""sx"": 59524, ""ecr"": 31084, ""x"": 5818}",,
8x8-1obs-v4x4,ibm_algiers_v2,qiskit,alap,1,16,27,31618,27,52743,12,30898,0,"{""cx"": 30898, ""rz"": 17701, ""sx"": 3890, ""x"": 254}",,
8x8-1obs-v4x4,ibm_algiers_v2,qiskit,asap,1,16,27,31618,27,52743,12,30898,0,"{""cx"": 30898, ""rz"": 17701, ""sx"": 3890, ""x"": 254}",,
8x8-1obs-v4x4,ibm_cambridge_v2,qiskit,alap,1,16,28,26315,28,44184,13,30148,0,"{""cx"": 30148, ""u1"": 9892, ""u2"": 3890, ""u3"": 254}",,
8x8-1obs-v4x4,ibm_cambridge_v2,qiskit,asap,1,16,28,26315,28,44184,13,30148,0,"{""cx"": 30148, ""u1"": 9892, ""u2"": 3890, ""u3"": 254}",,
8x8-2obs-v4x4,ibm_guadalupe_v2,qiskit,alap,1,16,16,60491,16,98989,1,57133,0,"{""cx"": 57133, ""rz"": 33740, ""sx"": 7634, ""x"": 482}",,
8x8-2obs-v4x4,ibm_guadalupe_v2,qiskit,asap,1,16,16,60491,16,98989,1,57133,0,"{""cx"": 57133, ""rz"": 33740, ""sx"": 7634, ""x"": 482}",,
8x8-2obs-v4x4,ibm_sherbrooke_v2,qiskit,alap,1,16,127,138531,127,304395,109,52942,0,"{""rz"": 139404, ""sx"": 101584, ""ecr"": 52942, ""x"": 10465}",,
8x8-2obs-v4x4,ibm_sherbrooke_v2,qiskit,asap,1,16,127,138531,127,304395,109,52942,0,"{""rz"": 139404, ""sx"": 101584, ""ecr"": 52942, ""x"": 10465}",,
8x8-2obs-v4x4,ibm_algiers_v2,qiskit,alap,1,16,27,61273,27,100108,12,58234,0,"{""cx"": 58234, ""rz"": 33758, ""sx"": 7634, ""x"": 482}",,
8x8-2obs-v4x4,ibm_algiers_v2,qiskit,asap,1,16,27,61273,27,100108,12,58234,0,"{""cx"": 58234, ""rz"": 33758, ""sx"": 7634, ""x"": 482}",,
8x8-2obs-v4x4,ibm_cambridge_v2,qiskit,alap,1,16,28,51801,28,83592,13,57022,0,"{""cx"": 57022, ""u1"": 18454, ""u2"": 7634, ""u3"": 482}",,
8x8-2obs-v4x4,ibm_cambridge_v2,qiskit,asap,1,16,28,51801,28,83592,13,57022,0,"{""cx"": 57022, ""u1"": 18454, ""u2"": 7634, ""u3"": 482}",,
