case,experiment,algorithm,grid_x,grid_y,grid_label,grid_points,num_obstacles,num_timesteps,build_error,component_section,component_group,component_kind,component_class,sequence_index,logical_timestep,algorithm_substep,encoded_timestep,dimension,velocities,boundary_condition,component_critical_path_time_s,component_serial_time_s,component_op_counts_json,algorithm_logical_depth,algorithm_logical_2q_ops,algorithm_transpiled_depth,algorithm_transpiled_2q_ops,algorithm_scheduled_duration_s,algorithm_critical_path_time_s,algorithm_serial_time_s,timing_warnings,transpiled_compatible,transpiled_qubit_capacity_ok,transpiled_basis_gates_ok,transpiled_coupling_map_ok,transpile_error,section_analysis_error,logical_component_qubits,logical_component_depth,logical_component_size,logical_component_1q_ops,logical_component_2q_ops,logical_component_3q_plus_ops,transpiled_component_qubits,transpiled_component_depth,transpiled_component_size,transpiled_component_1q_ops,transpiled_component_2q_ops,transpiled_component_3q_plus_ops,hardware_key,hardware,hardware_label,architecture,coupling_type,num_hardware_qubits,measurement_time_s
obstacle_count__abqlbm__8x8__obs2__t1,obstacle_count,ABQLBM,8,8,8x8,64,2,1,,000__initialization__ab_initial_conditions,initialization,ab_initial_conditions,ABInitialConditions,0,,,,,,,6.999999999999999e-07,9e-07,"{""cx"": 3, ""rz"": 17, ""sx"": 11, ""x"": 1}",1974,1651,23468,13855,0.0020475749999996147,0.0023817249999997544,0.002898,,True,True,True,True,,,13,7,10,7,3,0,,9,32,29,3,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__abqlbm__8x8__obs2__t1,obstacle_count,ABQLBM,8,8,8x8,64,2,1,,001__streaming__ab_streaming__step1,streaming,ab_streaming,ABStreamingOperator,1,1,,,,,,0.00033257500000000585,0.00033584999999999995,"{""cx"": 1620, ""rz"": 2360, ""sx"": 444, ""x"": 30}",1974,1651,23468,13855,0.0020475749999996147,0.0023817249999997544,0.002898,,True,True,True,True,,,13,69,118,66,16,36,,3091,4454,2834,1620,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__abqlbm__8x8__obs2__t1,obstacle_count,ABQLBM,8,8,8x8,64,2,1,,002__reflection__ab_reflection__step1,reflection,ab_reflection,ABReflectionOperator,2,1,,,,,,0.0020504499999995946,0.0025614500000000003,"{""cx"": 12232, ""rz"": 18988, ""sx"": 4439, ""x"": 163}",1974,1651,23468,13855,0.0020475749999996147,0.0023817249999997544,0.002898,,True,True,True,True,,,13,1904,3828,2034,1632,162,,20401,35822,23590,12232,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,000__initialization__ms_initial_conditions,initialization,ms_initial_conditions,MSInitialConditions,0,,,,,,,5e-08,1.75e-07,"{""rz"": 10, ""sx"": 5, ""x"": 2}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,1,7,7,0,0,,3,17,17,0,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,001__streaming__ms_streaming__step1__sub1,streaming,ms_streaming,MSStreamingOperator,1,1,1,,,1,,1.0749999999999992e-05,2.24e-05,"{""cx"": 110, ""rz"": 134, ""sx"": 12, ""x"": 4}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,19,46,16,18,12,,108,260,150,110,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,002__reflection__ms_bounceback_reflection__step1__sub1__bounceback,reflection,ms_bounceback_reflection,BounceBackReflectionOperator,2,1,1,,,1,bounceback,0.0011098499999999476,0.0014140749999999999,"{""cx"": 6750, ""rz"": 10449, ""sx"": 2472, ""x"": 91}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,1815,3337,1732,1552,53,,11372,19762,13012,6750,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,003__reflection__ms_bounceback_reflection__step1__sub1__specular,reflection,ms_bounceback_reflection,BounceBackReflectionOperator,3,1,1,,,1,specular,0.0011098499999999476,0.0014140749999999999,"{""cx"": 6750, ""rz"": 10449, ""sx"": 2472, ""x"": 91}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,1815,3337,1732,1552,53,,11372,19762,13012,6750,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,004__ancilla_preparation__ms_streaming_ancilla_preparation__step1__sub1__dim0,ancilla_preparation,ms_streaming_ancilla_preparation,StreamingAncillaPreparation,4,1,1,,0,1,,2e-07,2e-07,"{""cx"": 1}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,1,1,0,1,0,,1,1,0,1,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,005__ancilla_preparation__ms_streaming_ancilla_preparation__step1__sub1__dim1,ancilla_preparation,ms_streaming_ancilla_preparation,StreamingAncillaPreparation,5,1,1,,1,1,,2e-07,2e-07,"{""cx"": 1}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,1,1,0,1,0,,1,1,0,1,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
obstacle_count__msqlbm__8x8__obs2__t1,obstacle_count,MSQLBM,8,8,8x8,64,2,1,,006__streaming__ms_streaming__step1__sub2,streaming,ms_streaming,MSStreamingOperator,6,1,2,,,1,,1.0749999999999992e-05,2.24e-05,"{""cx"": 110, ""rz"": 134, ""sx"": 12, ""x"": 4}",10944,9376,68489,40836,0.00601884999999669,0.0067044749999957175,0.008552599999999999,,True,True,True,True,,,15,19,46,16,18,12,,108,260,150,110,,generic_all_to_all_rz_sx_x_cx,generic all-to-all rz sx x cx,Generic all-to-all rz/sx/x/cx,generic all-to-all native-gate model,all_to_all,64,1e-06
