case,algorithm,hardware,logical_qubits,logical_depth,logical_size,logical_2q_ops,transpiled_qubits,transpiled_active_qubits,transpiled_compact_qubits,transpiled_depth,transpiled_size,transpiled_2q_ops,depth_ratio,size_ratio,two_qubit_gate_ratio,transpiled_compatible,transpiled_qubit_capacity_ok,transpiled_basis_gates_ok,transpiled_coupling_map_ok,scheduled_duration_s,max_idle_time_s,critical_path_time_s,serial_time_s,max_time_section,max_time_section_critical_path_s,max_2q_section,max_2q_section_count,transpile_error
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,google willow chip 2 2024,9,58,107,11,105,9,9,15431,25205,4630,266.05172413793105,235.5607476635514,420.90909090909093,True,True,True,True,0.0006072499999999978,0.0006063549999999978,0.0007246599999999744,0.000821675,algorithm_step_1,0.0007348299999999718,algorithm_step_1,4720,
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,ibm nighthawk r1 2025,9,58,107,11,120,9,9,4711,7710,2315,81.22413793103448,72.05607476635514,210.45454545454547,True,True,True,True,,,0.0005082850000000216,0.0005921850000000001,algorithm_step_1,0.000518270000000022,algorithm_step_1,2360,
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,ibm eagle r3 representative 2024,9,58,107,11,127,8,8,8357,14685,2486,144.08620689655172,137.2429906542056,226.0,True,True,True,True,0.001580434999999991,0.0008085399999999928,0.0017148399999999985,0.00184062,algorithm_step_1,0.0017353649999999983,algorithm_step_1,2513,
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,quantinuum h2 2025,9,58,107,11,56,8,8,2373,4366,1051,40.91379310344828,40.80373831775701,95.54545454545455,True,True,True,True,0.1758800000000043,0.09477000000000049,0.22221000000000757,0.22702,algorithm_step_1,0.2182300000000074,algorithm_step_1,1048,
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,neutral_atom_evered_aws_quera_harvard_2023,9,58,107,11,60,8,8,1901,3178,1079,32.775862068965516,29.700934579439252,98.0909090909091,True,True,True,True,0.006066059999999991,0.00499192,0.011397160000000132,0.02174354,measurement,0.005,algorithm_step_1,1076,
abqlbm_4x4_d2q9_t1_no_obstacles,ABQLBM,intel tunnel falls 2024,9,58,107,11,9,8,8,2052,3629,1079,35.37931034482759,33.91588785046729,98.0909090909091,True,True,True,True,,,0.0005720000000000109,0.0007378,algorithm_step_1,0.0005706000000000108,algorithm_step_1,1076,
msqlbm_4x4_v4x4_t1_no_obstacles,MSQLBM,google willow chip 2 2024,13,123,291,88,105,11,11,6843,12730,2346,55.63414634146341,43.74570446735395,26.65909090909091,True,True,True,True,0.00026433499999998453,9.35599999999895e-05,0.0003480899999999919,0.000417795,algorithm_step_1,0.00034132999999999153,algorithm_step_1,2346,
msqlbm_4x4_v4x4_t1_no_obstacles,MSQLBM,ibm nighthawk r1 2025,13,123,291,88,120,13,13,2015,3723,1188,16.382113821138212,12.793814432989691,13.5,True,True,True,True,,,0.00023198000000000627,0.00030235000000000006,algorithm_step_1,0.00023218000000000628,algorithm_step_1,1188,
msqlbm_4x4_v4x4_t1_no_obstacles,MSQLBM,ibm eagle r3 representative 2024,13,123,291,88,127,11,11,3327,7260,1248,27.048780487804876,24.948453608247423,14.181818181818182,True,True,True,True,0.0006195549999999998,0.00025911000000000266,0.0008037800000000005,0.000926065,algorithm_step_1,0.0008004750000000004,algorithm_step_1,1248,
msqlbm_4x4_v4x4_t1_no_obstacles,MSQLBM,quantinuum h2 2025,13,123,291,88,56,11,11,888,2118,528,7.219512195121951,7.278350515463917,6.0,True,True,True,True,0.0703700000000001,0.0287299999999999,0.09489000000000043,0.11562,algorithm_step_1,0.09111000000000043,algorithm_step_1,528,
